Hostname;ServerFunction;Type;SubFunction;IPServer;InSID;ServerStatus;SiteCode;AdministratedBy;OSName;ToCollectInit;ToCollectLast
null;Infrastructure;null;null;10.164.134.23;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.164.222.12;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.123.25.9;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.165.21.81;null;Active;null;null;null;false;false
taylor;Application;Virtual;Not applicable;10.255.150.203;Yes;Active;CCH1;CSC;AIX;true;true
null;Application;null;null;10.224.1.85;null;Active;null;null;null;false;false
null;Application;null;null;10.209.1.2;null;Active;null;null;null;false;false
null;Application;null;null;10.209.1.5;null;Active;null;null;null;false;false
null;Utility;null;null;10.160.73.5;null;Active;null;null;null;false;false
null;Application;null;null;10.162.134.95;null;Active;null;null;null;false;false
null;Application;null;null;10.84.60.56;null;Active;null;null;null;false;false
null;Application;null;null;10.84.60.105;null;Active;null;null;null;false;false
null;Application;null;null;10.165.21.99;null;Active;null;null;null;false;false
vio1-s2;Infrastructure;Virtual;Not applicable;10.128.72.177;Yes;Active;BAD1;CSC;AIX;true;false
vio2-s1;Infrastructure;Virtual;Not applicable;10.128.72.172;Yes;Active;BAD1;CSC;AIX;true;false
vios11;Infrastructure;Virtual;Not applicable;10.255.150.179;Yes;Active;CCH1;CSC;AIX;true;false
vios20;Infrastructure;Virtual;Not applicable;10.255.249.98;Yes;Active;GUC1;CSC;AIX;true;false
vios4;Infrastructure;Virtual;Not applicable;10.255.150.172;Yes;Active;CCH1;CSC;AIX;true;false
null;Application;null;null;10.247.70.30;null;Active;null;null;null;false;false
null;Application;null;null;10.176.243.30;null;Active;null;null;null;false;false
null;Application;null;null;10.177.241.30;null;Active;null;null;null;false;false
wallis;Infrastructure;Virtual;Not applicable;10.255.149.97;Yes;Active;CCH1;CSC;AIX;true;false
null;Application;null;null;10.23.48.182;null;Active;null;null;null;false;false
null;Application;null;null;10.199.114.201;null;Active;null;null;null;false;false
apabb;Application;Physical;Not applicable;10.197.128.202;Yes;Active;ELB1;CSC;SunOS;true;true
null;Application;null;null;10.177.242.29;null;Active;null;null;null;false;false
null;Application;null;null;10.238.5.92;null;Active;null;null;null;false;false
null;Application;null;null;10.177.238.27;null;Active;null;null;null;false;false
null;Application;null;null;10.66.97.240;null;Active;null;null;null;false;false
null;Utility;null;null;10.65.0.202;null;Active;null;null;null;false;false
null;Application;null;null;10.65.1.208;null;Active;null;null;null;false;false
null;Utility;null;null;10.66.96.27;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.18.92.134;null;Active;null;null;null;false;false
