Site code;Site name;Country code;Scenario today
ELL1;Lephalale (Medupi plant) (ELL1);ZA;ENERGY
EQ41;Bath (MI) (EQ41);US;ENERGY
ERL1;Erlanger (KY) (ERL1);US;ENERGY
ESE1;Esenler (depot) (ESE1);TR;STAY
ESF1;Alexandria (LA) (ESF1);US;ENERGY
ESV1;Esvres (ESV1);FR;ENERGY
FAL1;Falconara (FAL1);IT;ENERGY
FIN2;Nant de Drance (FIN2);CH;ENERGY
FJR1;Al Fujayrah (FJR1);AE;ENERGY
FKG1;Falkoping (FKG1);SE;STAY
FLA1;Flamanville (C. Nucleaire - T 1) (FLA1);FR;ENERGY
FLA2;Flamanville (C. Nucleaire - T 2) (FLA2);FR;ENERGY
FLA3;Flamanville (C. Nucleaire - T 3) (FLA3);FR;ENERGY
FLN1;Florianopolis (FLN1);BR;ENERGY
FLR1;Firenze (FLR1);IT;STAY
FOG1;Foggia (FOG1);IT;STAY
FOR1;Fortaleza (CE) (FOR1);BR;ENERGY
FOR2;Forsmark (FOR2);SE;ENERGY
FRA1;Frankfurt Am Main (FRA1);DE;ENERGY
FRC2;Fredericia (FRC2);DK;ENERGY
FRU1;Bishkek (FRU1);KG;ENERGY
FUK1;Fukuoka (FUK1);JP;ENERGY
FUK2;Fukuoka (Tenjin) (FUK2);JP;ENERGY
FYB1;Fontenay-sous-Bois (FYB1);FR;STAY
GAE2;Ghannouch 2 (GAE2);TN;ENERGY
GAI1;West Burton (GAI1);GB;ENERGY
GAN2;Gallatin (TN) (GAN2);US;ENERGY
GBA1;Galbiate (GBA1);IT;STAY
GDG1;Golders Green (GDG1);GB;STAY
GDN2;Gdansk (ul. Wislna) (GDN2);PL;ENERGY
GLW1;Glasgow (Shields) (GLW1);GB;STAY
GLW2;Glasgow (Polmadie) (GLW2);GB;STAY
GLW3;Glasgow TCP (GLW3);GB;STAY
GNB1;Grenoble (GNB1);FR;TBD - To be defined
GOL1;Golfech (C. Nucleaire) (GOL1);FR;ENERGY
GOM1;Hung Hom (GOM1);HK;STAY
GOT1;Goteborg (GOT1);SE;STAY
GRA1;Gravelines (C. Nucleaire) (GRA1);FR;ENERGY
GRA2;Granby (GRA2);CA;ENERGY
GRV1;Grevenbroich (GRV1);DE;ENERGY
GSI1;Gissi (GSI1);IT;ENERGY
GTF1;Getafe (GTF1);ES;STAY
GUR1;Guri I (GUR1);VE;ENERGY
GVA1;Geneva (GVA1);CH;TBD - To be defined
GVX1;Gavle (GVX1);SE;ENERGY
HAM1;Hamburg (HAM1);DE;ENERGY
HAM2;Hamburg (Heidenkampsweg) (HAM2);DE;ENERGY
HAN1;Hanoi (Hoan Kiem District) (HAN1);VN;MOVE AT
HAN2;Hanoi (Dong Da District) (HAN2);VN;STAY
HBA1;Cambridge Workshop (HBA1);AU;ENERGY
HBS1;Homebush Bay (HBS1);AU;ENERGY
HCU1;Hospitalet (HCU1);ES;STAY
HEI1;Heidelberg (HEI1);DE;ENERGY
HEK1;Hersbruck (HEK1);DE;ENERGY
HEL1;Helsinki (HEL1);FI;STAY
HEL6;Helsingborg (HEL6);SE;STAY
HFA1;Haifa IC3 (HFA1);IL;STAY
HFE1;Hefei (Baohe) (HFE1);CN;ENERGY
HGG1;Highgate (HGG1);GB;STAY
HGZ2;Higashi Izu (Kawazu 2) (HGZ2);JP;ENERGY
HKG2;Hong Kong (Thermal Sces) (HKG2);HK;TBD - To be defined
HKG3;Hong Kong (Grid) (HKG3);HK;ENERGY
HKG4;Hong Kong (Transport) (HKG4);HK;SPLIT
HLW1;Helwan (Eltebbein) (HLW1);EG;ENERGY
HLW2;Helwan (Torah) (HLW2);EG;STAY
HLZ1;Hamilton (HLZ1);NZ;ENERGY
HMM1;Hamm (HMM1);DE;ENERGY
HNW1;Hornell (NY) (HNW1);US;STAY
HOE1;Horby (HOE1);SE;ENERGY
HOO1;Hoo (Regional Office) (HOO1);GB;ENERGY
HOO2;Kingsnorth (HOO2);GB;ENERGY
HOU1;Houston (TX) (HOU1);US;ENERGY
HQE1;Heede (Dolwin3) (HQE1);DE;ENERGY
HSR1;Hosur (HSR1);IN;ENERGY
HSV1;Huntsville (AL) (HSV1);US;ENERGY
HTL1;CSC Sao Paulo (HTL1);BR;ENERGY
HTP1;Hartlepool (HTP1);GB;ENERGY
HUN1;Hoping (HUN1);TW;ENERGY
HYD1;CSC Hyderabad (HYD1);IN;ENERGY
HYM1;Heysham (HYM1);GB;ENERGY
IAJ1;Itajuba (IAJ1);BR;ENERGY
ICD2;Delhi (Okhla) (ICD2);IN;ENERGY
ICD4;New Delhi (Patparganj Ind. Area) (ICD4);IN;TBD - To be defined
IEV1;Kiev (Golosiivska Str) (IEV1);UA;ENERGY
IEV2;Kiev (Khoreviy bystreet) (IEV2);UA;ENERGY
IKG1;Strasbourg (Regiolis) (IKG1);FR;STAY
IKT1;Irkutsk (IKT1);RU;ENERGY
ILG1;Wilmington (DE) (ILG1);US;TBD - To be defined
ILM1;Issy-les-Moulineaux (ILM1);FR;STAY
IOG1;Grain (IOG1);GB;ENERGY
IOG3;Grain - LNG Pipework Project (IOG3);GB;ENERGY
ISD1;Isando (ISD1);ZA;ENERGY
IXC1;Chandigarh (IXC1);IN;ENERGY
IXD1;Naini (IXD1);IN;ENERGY
IXW1;Jamshedpur (IXW1);IN;ENERGY
JAA1;Jouy-aux-Arches (JAA1);FR;ENERGY
JAI1;Jaipur (JAI1);IN;TBD - To be defined
JAI2;Jaipur (Atish Market) (JAI2);IN;STAY
JED1;Jeddah (al Hamraa) (JED1);SA;ENERGY
JED3;Jeddah (Medinah Rd) (JED3);SA;ENERGY
JFL1;Jorf Lasfar (JLEC) (JFL1);MA;ENERGY
JFL2;Jorf Lasfar (AKIEM) (JFL2);MA;STAY
JGN1;Jaguariuna (JGN1);BR;ENERGY
JHR1;Aditya (JHR1);IN;ENERGY
JKT2;Jakarta (Alstom Plaza) (JKT2);ID;MOVE AT
JNB2;Johannesburg (Gibela) (JNB2);ZA;STAY
JND1;Yangzhou (JND1);CN;ENERGY
JPT1;Jupiter (FL) (JPT1);US;ENERGY
JRS1;Jerusalem Har Hotzvim (JRS1);IL;STAY
JRS3;Jerusalem Pisgat zeev (JRS3);IL;STAY
JRT1;Jorethang (JRT1);IN;ENERGY
JUR1;Jurong (JUR1);SG;ENERGY
KAA1;Kalaeola (HI) (KAA1);US;ENERGY
KAE1;Karlsruhe (KAE1);DE;ENERGY
KAR1;Karlovac (KAR1);HR;ENERGY
KAS1;Kassel (Ellenbacher Str.) (KAS1);DE;ENERGY
KAS2;Kassel (Lilienthal Str.) (KAS2);DE;ENERGY
KAZ1;Az Zour (KAZ1);KW;ENERGY
KDE1;Longanet (KDE1);GB;ENERGY
KGH2;Killingholme (E.ON) (KGH2);GB;ENERGY
KHI1;Karachi (KHI1);PK;ENERGY
KLD1;Kladno (KLD1);CZ;ENERGY
KLG1;Kuala Langat (KLG1);MY;ENERGY
